date,aapl,msft,amzn
9/29/1981,0.215154,,
9/30/1981,0.216933,,
10/1/1981,0.216933,,
10/2/1981,0.234714,,
10/5/1981,0.241826,,
10/6/1981,0.240048,,
10/7/1981,0.254273,,
10/8/1981,0.263164,,
10/9/1981,0.264942,,
10/12/1981,0.273833,,
10/13/1981,0.273833,,
10/14/1981,0.25783,,
10/15/1981,0.263164,,
10/16/1981,0.259608,,
10/19/1981,0.264942,,
10/20/1981,0.279167,,
10/21/1981,0.279167,,
10/22/1981,0.277389,,
10/23/1981,0.270277,,
10/26/1981,0.270277,,
10/27/1981,0.275611,,
10/28/1981,0.284502,,
10/29/1981,0.280945,,
10/30/1981,0.284502,,
11/2/1981,0.284502,,
11/3/1981,0.280945,,
11/4/1981,0.273833,,
11/5/1981,0.254273,,
11/6/1981,0.256052,,
11/9/1981,0.259608,,
11/10/1981,0.261386,,
11/11/1981,0.268498,,
11/12/1981,0.277389,,
11/13/1981,0.25783,,
11/16/1981,0.254273,,
11/17/1981,0.259608,,
11/18/1981,0.268498,,
11/19/1981,0.268498,,
11/20/1981,0.270277,,
11/23/1981,0.25783,,
11/24/1981,0.256052,,
11/25/1981,0.261386,,
11/27/1981,0.268498,,
11/30/1981,0.264942,,
12/1/1981,0.264942,,
12/2/1981,0.26672,,
12/3/1981,0.263164,,
12/4/1981,0.270277,,
12/7/1981,0.272055,,
12/8/1981,0.26672,,
12/9/1981,0.268498,,
12/10/1981,0.268498,,
12/11/1981,0.26672,,
12/14/1981,0.25783,,
12/15/1981,0.264942,,
12/16/1981,0.277389,,
12/17/1981,0.300505,,
12/18/1981,0.325399,,
12/21/1981,0.311174,,
12/22/1981,0.316508,,
12/23/1981,0.309396,,
12/24/1981,0.311174,,
12/28/1981,0.296949,,
12/29/1981,0.302283,,
12/30/1981,0.31473,,
12/31/1981,0.31473,,
1/4/1982,0.312952,,
1/5/1982,0.296949,,
1/6/1982,0.293392,,
1/7/1982,0.270277,,
1/8/1982,0.282723,,
1/11/1982,0.264942,,
1/12/1982,0.256052,,
1/13/1982,0.254273,,
1/14/1982,0.26672,,
1/15/1982,0.284502,,
1/18/1982,0.289836,,
1/19/1982,0.282723,,
1/20/1982,0.288058,,
1/21/1982,0.293392,,
1/22/1982,0.295171,,
1/25/1982,0.28628,,
1/26/1982,0.275611,,
1/27/1982,0.277389,,
1/28/1982,0.28628,,
1/29/1982,0.289836,,
2/1/1982,0.28628,,
2/2/1982,0.288058,,
2/3/1982,0.288058,,
2/4/1982,0.280945,,
2/5/1982,0.280945,,
2/8/1982,0.263164,,
2/9/1982,0.263164,,
2/10/1982,0.26672,,
2/11/1982,0.263164,,
2/12/1982,0.26672,,
2/16/1982,0.261386,,
2/17/1982,0.264942,,
2/18/1982,0.268498,,
2/19/1982,0.26672,,
2/22/1982,0.263164,,
2/23/1982,0.259608,,
2/24/1982,0.261386,,
2/25/1982,0.259608,,
2/26/1982,0.259608,,
3/1/1982,0.261386,,
3/2/1982,0.261386,,
3/3/1982,0.261386,,
3/4/1982,0.256052,,
3/5/1982,0.236492,,
3/8/1982,0.232936,,
3/9/1982,0.234714,,
3/10/1982,0.231158,,
3/11/1982,0.231158,,
3/12/1982,0.216933,,
3/15/1982,0.215154,,
3/16/1982,0.211598,,
3/17/1982,0.200929,,
3/18/1982,0.216933,,
3/19/1982,0.236492,,
3/22/1982,0.254273,,
3/23/1982,0.250717,,
3/24/1982,0.236492,,
3/25/1982,0.234714,,
3/26/1982,0.231158,,
3/29/1982,0.236492,,
3/30/1982,0.240048,,
3/31/1982,0.240048,,
4/1/1982,0.252495,,
4/2/1982,0.252495,,
4/5/1982,0.252495,,
4/6/1982,0.250717,,
4/7/1982,0.247161,,
4/8/1982,0.248939,,
4/12/1982,0.247161,,
4/13/1982,0.227601,,
4/14/1982,0.229379,,
4/15/1982,0.232936,,
4/16/1982,0.240048,,
4/19/1982,0.234714,,
4/20/1982,0.224045,,
4/21/1982,0.222267,,
4/22/1982,0.218711,,
4/23/1982,0.218711,,
4/26/1982,0.224045,,
4/27/1982,0.216933,,
4/28/1982,0.208042,,
4/29/1982,0.208042,,
4/30/1982,0.20982,,
5/3/1982,0.216933,,
5/4/1982,0.224045,,
5/5/1982,0.220489,,
5/6/1982,0.227601,,
5/7/1982,0.231158,,
5/10/1982,0.227601,,
5/11/1982,0.220489,,
5/12/1982,0.215154,,
5/13/1982,0.216933,,
5/14/1982,0.208042,,
5/17/1982,0.204486,,
5/18/1982,0.200929,,
5/19/1982,0.199151,,
5/20/1982,0.200929,,
5/21/1982,0.202707,,
5/24/1982,0.204486,,
5/25/1982,0.204486,,
5/26/1982,0.202707,,
5/27/1982,0.199151,,
5/28/1982,0.199151,,
6/1/1982,0.195595,,
6/2/1982,0.199151,,
6/3/1982,0.192039,,
6/4/1982,0.186704,,
6/7/1982,0.186704,,
6/8/1982,0.184926,,
6/9/1982,0.18137,,
6/10/1982,0.183148,,
6/11/1982,0.190261,,
6/14/1982,0.190261,,
6/15/1982,0.190261,,
6/16/1982,0.190261,,
6/17/1982,0.186704,,
6/18/1982,0.183148,,
6/21/1982,0.183148,,
6/22/1982,0.190261,,
6/23/1982,0.195595,,
6/24/1982,0.195595,,
6/25/1982,0.188482,,
6/28/1982,0.186704,,
6/29/1982,0.18137,,
6/30/1982,0.18137,,
7/1/1982,0.179592,,
7/2/1982,0.170701,,
7/6/1982,0.163588,,
7/7/1982,0.163588,,
7/8/1982,0.156476,,
7/9/1982,0.16181,,
7/12/1982,0.165367,,
7/13/1982,0.176035,,
7/14/1982,0.177814,,
7/15/1982,0.18137,,
7/16/1982,0.188482,,
7/19/1982,0.190261,,
7/20/1982,0.202707,,
7/21/1982,0.202707,,
7/22/1982,0.204486,,
7/23/1982,0.200929,,
7/26/1982,0.192039,,
7/27/1982,0.192039,,
7/28/1982,0.183148,,
7/29/1982,0.190261,,
7/30/1982,0.192039,,
8/2/1982,0.197373,,
8/3/1982,0.184926,,
8/4/1982,0.183148,,
8/5/1982,0.176035,,
8/6/1982,0.174257,,
8/9/1982,0.176035,,
8/10/1982,0.186704,,
8/11/1982,0.188482,,
8/12/1982,0.186704,,
8/13/1982,0.186704,,
8/16/1982,0.190261,,
8/17/1982,0.202707,,
8/18/1982,0.202707,,
8/19/1982,0.204486,,
8/20/1982,0.20982,,
8/23/1982,0.218711,,
8/24/1982,0.229379,,
8/25/1982,0.245383,,
8/26/1982,0.252495,,
8/27/1982,0.240048,,
8/30/1982,0.243604,,
8/31/1982,0.256052,,
9/1/1982,0.248939,,
9/2/1982,0.259608,,
9/3/1982,0.261386,,
9/7/1982,0.247161,,
9/8/1982,0.256052,,
9/9/1982,0.250717,,
9/10/1982,0.25783,,
9/13/1982,0.259608,,
9/14/1982,0.268498,,
9/15/1982,0.26672,,
9/16/1982,0.25783,,
9/17/1982,0.252495,,
9/20/1982,0.254273,,
9/21/1982,0.259608,,
9/22/1982,0.26672,,
9/23/1982,0.26672,,
9/24/1982,0.25783,,
9/27/1982,0.25783,,
9/28/1982,0.261386,,
9/29/1982,0.261386,,
9/30/1982,0.259608,,
10/1/1982,0.263164,,
10/4/1982,0.26672,,
10/5/1982,0.268498,,
10/6/1982,0.288058,,
10/7/1982,0.311174,,
10/8/1982,0.334289,,
10/11/1982,0.341402,,
10/12/1982,0.330733,,
10/13/1982,0.334289,,
10/14/1982,0.336068,,
10/15/1982,0.327177,,
10/18/1982,0.334289,,
10/19/1982,0.341402,,
